pole,eq_lon90,eq_lon135,eq_lon180
1.99175297329019e-06,1.43470568840605e-06,8.85232821456056e-07,7.17937171041243e-07
1.98509825204683e-06,1.43303255221945e-06,8.84041308418226e-07,7.18670743711549e-07
1.97844353080347e-06,1.43135941603285e-06,8.82849795380396e-07,7.19404316381855e-07
1.9717888095601e-06,1.42968627984625e-06,8.81658282342566e-07,7.2013788905216e-07
1.96513408831674e-06,1.42801314365965e-06,8.80466769304737e-07,7.20871461722466e-07
1.95847936707338e-06,1.42634000747305e-06,8.79275256266907e-07,7.21605034392772e-07
1.95182464583002e-06,1.42466687128645e-06,8.78083743229077e-07,7.22338607063077e-07
1.94516992458666e-06,1.42299373509985e-06,8.76892230191247e-07,7.23072179733383e-07
1.93851520334329e-06,1.42132059891325e-06,8.75700717153417e-07,7.23805752403688e-07
1.93223080932247e-06,1.41944523516661e-06,8.74411133042317e-07,7.24204556863063e-07
1.92594641530165e-06,1.41756987141998e-06,8.73121548931218e-07,7.24603361322438e-07
1.91966202128083e-06,1.41569450767334e-06,8.71831964820118e-07,7.25002165781813e-07
